Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152096,,,,,16.95,,,,Tea and Primroses,"Thompson, Tess",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152102,,,,,15.95,,,,Arielle Immortal Seduction,"Roberts, Lilian",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152119,,,,,9.99,,,,Boston O'Neill,"Owen, Jim",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.59,USD,United States,,,9781620152126,,,,,19.95,,,,Exodus 2022,"Bennett, Ken",Booktrope Editions,
LSI,9/1/15,9/30/15,5,3.84,USD,United States,,,9781620152133,,,,,16.95,,,,Harm None,"North, Will",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152140,,,,,12.95,,,,Magnus Opum,"Gould, Jonathan",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152157,,,,,11.95,,,,Spellbound in His Arms,"Sefer, Angel",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152164,,,,,12.95,,,,The Button Legacy: Emily's Inheritance,"Marcinkowski, Ginger",Vox Dei,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152171,,,,,14.95,,,,The Duel for Consuelo,"Long, Claudia",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152188,,,,,19.95,,,,What Echoes Render,"Schultz, Tamsen",Booktrope Editions,
LSI,9/1/15,9/30/15,-1,-9.18,USD,United States,,,9781620152195,,,,,15.95,,,,Pulled Beneath,"Mann, Marni",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152218,,,,,32.95,,,,GODSPEED,"Grace, February",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152263,,,,,31.95,,,,HOME FIELD: WRITERS REMEMBER BASEBALL,"Marshall, John Douglas",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152287,,,,,30.95,,,,DIZZY IN KARACHI: A JOURNEY TO PAKISTAN,"Masood, Maliha",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152300,,,,,32.95,,,,COUNTRY MUSIC'S JIM OWEN: AN AMAZING LIFE,"Owen, Jim",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152324,,,,,32.95,,,,BUMBLING INTO BODY HAIR,"Maroon, Everett",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152348,,,,,33.95,,,,SCARS FROM A MEMOIR,"Mann, Marni",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152362,,,,,29.95,,,,LET THE DOGS SPEAK,"McKiernan, Marianne",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153239,,,,,30.95,,,,HOW TO MARKET A BOOK,"Culwell, Lori",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153314,,,,,34.95,,,,STRATEGIC SALES PRESENTATIONS,"Malcolm, Jack",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153321,,,,,29.95,,,,THE ROMANCE OF GRACE,"McNeely, Jim III",Vox Dei,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153376,,,,,22.95,,,,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,Germany,,,9781620153376,,,,,22.95,,,,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,1,2.86,USD,United States,,,9781620153383,,,,,23.95,,,,Ink Spots,"McDonald, Brian",Booktrope Editions,
LSI,9/1/15,9/30/15,2,9.64,USD,United States,,,9781620153390,,,,,28.95,,,,Invisible Ink: A Practical Guide to Building Stories that Resonate,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,Germany,,,9781620153390,,,,,28.95,,,,Invisible Ink: A Practical Guide to Building Stories that Resonate,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153406,,,,,33.95,,,,MEMOIRS ARENT FAIRYTALES,"Mann, Marni",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153420,,,,,16.95,,,,Seductive Shadows,"Mann, Marni",Booktrope Entice,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153437,,,,,9.99,,,,Letters to Mommy,"Owen, Jim",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153444,,,,,13.95,,,,"Losing Him, Gaining You: Divorce as Opportunity","Lewars, Corbin",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153451,,,,,15.95,,,,Willful Avoidance,"Twissel, JT",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153482,,,,,11.95,,,,The Heart of Power,"Wood, John Thomas",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153499,,,,,16.95,,,,Biking Uphill,"Williams, Arleen",Booktrope Editions,
LSI,9/1/15,9/30/15,2,8.52,USD,United States,,,9781620153505,,,,,16.95,,,,Dancing on the Edge,"Bakke, Kit",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153529,,,,,16.95,,,,Unfinished Business,"Ridder Aspenson, Carolyn",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153536,,,,,16.95,,,,Unbreakable Bonds,"Ridder Aspenson, Carolyn",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153550,,,,,13.95,,,,Six Strings,"Williamson, Jen Sanya",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153574,,,,,11.95,,,,The Heart of Relationships,"Wood, John Thomas",Booktrope Editions,
LSI,9/1/15,9/30/15,-5,-41.4,USD,United States,,,9781620153581,,,,,13.95,,,,Is This All There Is?,"Mann, Patricia",Booktrope Editions,
LSI,9/1/15,9/30/15,2,6.86,USD,United States,,,9781620153598,,,,,16.95,,,,Autumn Getaway,"Gracen, Jennifer",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153642,,,,,10.95,,,,The Stories We Don't Tell,"Thayer, Melissa",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153659,,,,,21.95,,,,Fractured Dream,"Randall, K. M.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153666,,,,,13.95,,,,Rivercreek Crossing,"Lemay, C. L.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153956,,,,,16.95,,,,Fissure Free,"Ryan, Shari J.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620153963,,,,,12.95,,,,Waiting for You,"Huffman, Heather",Booktrope Editions,
