Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,5/1/15,5/31/15,1,0,USD,US,,,,,B00IIUX9I4,70% - promo,Kindle MatchBook,2.99,,,0,The Unintentional Time Traveler,Everett Maroon
KDP,5/1/15,5/31/15,2,13.84,USD,US,,,,,B00IIWBPJC,70%,Standard,9.95,,,13.84,"Losing Him, Gaining You: Divorce as Opportunity",Corbin Lewars
KDP,5/1/15,5/31/15,0,0,USD,US,,,,,B00IOSBVUS,70%,Standard,3.99,,,0,One Day in Lubbock,Daniel Lance Wright
KDP,5/1/15,5/31/15,2,4.1,USD,US,,,,,B00IPL70NG,70%,Standard,2.99,,,4.1,Hard Justice,Mike McNeff
KDP,5/1/15,5/31/15,13,17.52513399,USD,US,,,,,B00IPL70NG,N/A,KU/KOLL Units,N/A,,,17.52513399,Hard Justice,Mike McNeff
KDP,5/1/15,5/31/15,4,5.39234892,USD,US,,,,,B00IRL8O2U,N/A,KU/KOLL Units,N/A,,,5.39234892,Exodus 2022,Kenneth G. Bennett
KDP,5/1/15,5/31/15,2,8.2,USD,US,,,,,B00IZ1AWUY,70%,Standard,5.99,,,8.2,Unbridled Hearts Collection,Heather Huffman
KDP,5/1/15,5/31/15,5,1.75,USD,US,,,,,B00IZNNXAS,35%,Standard,0.99,,,1.75,Arielle Immortal Seduction,Lilian Roberts
KDP,5/1/15,5/31/15,2,6.88,USD,US,,,,,B00IZNNXAS,70%,Standard,4.99,,,6.88,Arielle Immortal Seduction,Lilian Roberts
KDP,5/1/15,5/31/15,14,18.87322122,USD,US,,,,,B00IZNNXAS,N/A,KU/KOLL Units,N/A,,,18.87322122,Arielle Immortal Seduction,Lilian Roberts
KDP,5/1/15,5/31/15,1,4.81,USD,US,,,,,B00J4YIKN2,70%,Standard,6.99,,,4.81,Memoirs Collection,Marni Mann
KDP,5/1/15,5/31/15,3,1.13,USD,US,,,,,B00J6ELEX8,35%,Standard,1.07,,,1.13,Is This All There Is?,Patricia Mann
KDP,5/1/15,5/31/15,5,13.83,USD,US,,,,,B00J6ELEX8,70%,Standard,4,,,13.83,Is This All There Is?,Patricia Mann
KDP,5/1/15,5/31/15,9,12.13278507,USD,US,,,,,B00J6ELEX8,N/A,KU/KOLL Units,N/A,,,12.13278507,Is This All There Is?,Patricia Mann
KDP,5/1/15,5/31/15,8,21.92,USD,US,,,,,B00J8OLGUW,70%,Standard,3.99,,,21.92,Enlightened,A.L. Waddington
KDP,5/1/15,5/31/15,10,34.4,USD,US,,,,,B00J9U9OZO,70%,Standard,4.99,,,34.4,Memory Tower,Terry Persun
KDP,5/1/15,5/31/15,8,3.85,USD,US,,,,,B00JBOC5TU,35%,Standard,1.37,,,3.85,Autumn Getaway,Jennifer Gracen
KDP,5/1/15,5/31/15,19,52.06,USD,US,,,,,B00JBOC5TU,70%,Standard,3.99,,,52.06,Autumn Getaway,Jennifer Gracen
KDP,5/1/15,5/31/15,137,47.95,USD,US,,,,,B00JBR808W,35%,Standard,0.99,,,47.95,Unbreakable Bonds,Carolyn Ridder Aspenson
KDP,5/1/15,5/31/15,50,32,USD,US,,,,,B00JBR808W,70%,Standard,4.91,,,32,Unbreakable Bonds,Carolyn Ridder Aspenson
KDP,5/1/15,5/31/15,1,1.34808723,USD,US,,,,,B00JCEXDPY,N/A,KU/KOLL Units,N/A,,,1.34808723,Unfinished Business,Carolyn Ridder Aspenson
KDP,5/1/15,5/31/15,1,0.35,USD,US,,,,,B00JG8TRGA,35%,Standard,0.99,,,0.35,Pulled Within,Marni Mann
KDP,5/1/15,5/31/15,55,150.7,USD,US,,,,,B00JG8TRGA,70%,Standard,3.99,,,150.7,Pulled Within,Marni Mann
KDP,5/1/15,5/31/15,50,67.4043615,USD,US,,,,,B00JG8TRGA,N/A,KU/KOLL Units,N/A,,,67.4043615,Pulled Within,Marni Mann
KDP,5/1/15,5/31/15,1,0.35,USD,US,,,,,B00JG8U6TC,35%,Standard,0.99,,,0.35,Fractured Dream,K.M. Randall
KDP,5/1/15,5/31/15,2,6.84,USD,US,,,,,B00JG8U6TC,70%,Standard,4.99,,,6.84,Fractured Dream,K.M. Randall
KDP,5/1/15,5/31/15,13,17.52513399,USD,US,,,,,B00JG8U6TC,N/A,KU/KOLL Units,N/A,,,17.52513399,Fractured Dream,K.M. Randall
KDP,5/1/15,5/31/15,1,2.75,USD,US,,,,,B00JPKWIVA,70%,Standard,3.99,,,2.75,The Graduation Present,JT Twissel
KDP,5/1/15,5/31/15,1,3.39,USD,US,,,,,B00JPS6NJA,70%,Standard,4.99,,,3.39,The Joe Vampire Collection,Steven Luna
KDP,5/1/15,5/31/15,2,2.69617446,USD,US,,,,,B00JPS6NJA,N/A,KU/KOLL Units,N/A,,,2.69617446,The Joe Vampire Collection,Steven Luna
KDP,5/1/15,5/31/15,1,0.35,USD,US,,,,,B00JXWYORG,35%,Standard,0.99,,,0.35,If I Say Yes,Brandy Jellum
KDP,5/1/15,5/31/15,7,9.43661061,USD,US,,,,,B00JXWYORG,N/A,KU/KOLL Units,N/A,,,9.43661061,If I Say Yes,Brandy Jellum
KDP,5/1/15,5/31/15,1,2.26,USD,US,,,,,B00JYYMPG0,70%,Standard,3.28,,,2.26,Violet Midnight,Allie Burke
KDP,5/1/15,5/31/15,11,22.44,USD,US,,,,,B00K08T30U,70%,Standard,2.99,,,22.44,In Starlight,February Grace
KDP,5/1/15,5/31/15,5,7,USD,US,,,,,B00K397URO,35%,Standard,3.99,,,7,Last Impressions,A.J. Aalto
KDP,5/1/15,5/31/15,349,948.06,USD,US,,,,,B00K397URO,70%,Standard,3.99,,,948.06,Last Impressions,A.J. Aalto
KDP,5/1/15,5/31/15,2,4.08,USD,US,,,,,B00K398816,70%,Standard,2.99,,,4.08,Fissure Free,Shari J. Ryan
KDP,5/1/15,5/31/15,3,4.04426169,USD,US,,,,,B00K398816,N/A,KU/KOLL Units,N/A,,,4.04426169,Fissure Free,Shari J. Ryan
KDP,5/1/15,5/31/15,3,2.1,USD,US,,,,,B00K60SW6S,35%,Standard,1.99,,,2.1,Biking Uphill,Arleen Williams
KDP,5/1/15,5/31/15,1,3.44,USD,US,,,,,B00K60SW6S,70%,Standard,4.99,,,3.44,Biking Uphill,Arleen Williams
KDP,5/1/15,5/31/15,55,20.3,USD,US,,,,,B00K6PQW9M,35%,Standard,1.04,,,20.3,Deadly Secrets,Angel Sefer
KDP,5/1/15,5/31/15,7,19.18,USD,US,,,,,B00K6PQW9M,70%,Standard,3.99,,,19.18,Deadly Secrets,Angel Sefer
