Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,7/1/15,7/31/15,1,6.37,USD,United States,,,9781620158036,,1620158035,,,16.95,,,6.37,Walking Home,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/6/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/6/15
CreateSpace,7/1/15,7/31/15,1,5.12,USD,United States,,,9781935961307,,1935961306,,,14.95,,,5.12,Jailbird,,7/7/15
CreateSpace,7/1/15,7/31/15,1,3.35,USD,United States,,,9781935961758,,1935961756,,,9.95,,,3.35,Ink Spots,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.32,USD,United States,,,9781935961314,,1935961314,,,12.95,,,5.32,How to Market a Book,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/7/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/7/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/7/15
CreateSpace,7/1/15,7/31/15,1,6.76,USD,United States,,,9781620154588,,1620154587,,,18.95,,,6.76,"Please, Pretty Lights",,7/7/15
CreateSpace,7/1/15,7/31/15,1,6.76,USD,United States,,,9781620154588,,1620154587,,,18.95,,,6.76,"Please, Pretty Lights",,7/7/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.03,USD,United States,,,9781620151730,,1620151731,,,14.95,,,5.03,The Dark Light of Day,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.29,USD,United States,,,9781620151808,,1620151804,,,13.95,,,5.29,Spirit Warriors: The Concealing,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.8,USD,United States,,,9781620154564,,1620154560,,,15.95,,,5.8,Spirit Warriors: The Scarring,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.44,USD,United States,,,9781620154304,,1620154307,,,14.95,,,5.44,Deadly Secrets,,7/7/15
CreateSpace,7/1/15,7/31/15,1,5.39,USD,United States,,,9781513700236,,1513700235,,,14.95,,,5.39,Dark Shadows of the Past,,7/7/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.48,USD,United States,,,9781620152157,,1620152150,,,11.95,,,4.48,Spellbound in His Arms,,7/7/15
CreateSpace,7/1/15,7/31/15,1,4.48,USD,United States,,,9781513700397,,1513700391,,,11.95,,,4.48,Falling,,7/7/15
