Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,6/1/15,6/30/15,1,1.4,USD,US,,,,,B00K397URO,35%,Standard,3.99,,,1.40,Last Impressions,A.J. Aalto
KDP,6/1/15,6/30/15,130,351.6,USD,US,,,,,B00K397URO,70%,Standard,3.97,,,351.60,Last Impressions,A.J. Aalto
KDP,6/1/15,6/30/15,15,30.6,USD,US,,,,,B00K398816,70%,Standard,2.99,,,30.60,Fissure Free,Shari J. Ryan
KDP,6/1/15,6/30/15,3,4.06255275,USD,US,,,,,B00K398816,N/A,KU/KOLL Units,N/A,,,4.06,Fissure Free,Shari J. Ryan
KDP,6/1/15,6/30/15,657,0,USD,US,,,,,B00K398816,N/A,Free - Promotion,2.99,,,0.00,Fissure Free,Shari J. Ryan
KDP,6/1/15,6/30/15,11,7.7,USD,US,,,,,B00K60SW6S,35%,Standard,1.99,,,7.70,Biking Uphill,Arleen Williams
KDP,6/1/15,6/30/15,1,1.4,USD,US,,,,,B00K6PQW9M,35%,Standard,3.99,,,1.40,Deadly Secrets,Angel Sefer
KDP,6/1/15,6/30/15,18,49.32,USD,US,,,,,B00K6PQW9M,70%,Standard,3.99,,,49.32,Deadly Secrets,Angel Sefer
KDP,6/1/15,6/30/15,20,27.083685,USD,US,,,,,B00K6PQW9M,N/A,KU/KOLL Units,N/A,,,27.08,Deadly Secrets,Angel Sefer
KDP,6/1/15,6/30/15,2,2.8,USD,US,,,,,B00K7MET62,35%,Standard,3.99,,,2.80,Winter Hopes,Jennifer Gracen
KDP,6/1/15,6/30/15,131,358.94,USD,US,,,,,B00K7MET62,70%,Standard,3.99,,,358.94,Winter Hopes,Jennifer Gracen
KDP,6/1/15,6/30/15,1,3.46,USD,US,,,,,B00K8BNH9M,70%,Standard,4.99,,,3.46,The Stories We Don't Tell,Melissa Thayer
KDP,6/1/15,6/30/15,1,2.74,USD,US,,,,,B00KC5O5HW,70%,Standard,3.99,,,2.74,Between Heartbreak and Happiness,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,4,5.416737,USD,US,,,,,B00KC5O5HW,N/A,KU/KOLL Units,N/A,,,5.42,Between Heartbreak and Happiness,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,12,41.04,USD,US,,,,,B00KDO7X3A,70%,Standard,4.99,,,41.04,What Echoes Render,Tamsen Schultz
KDP,6/1/15,6/30/15,3,10.32,USD,US,,,,,B00KMNG5UY,70%,Standard,4.99,,,10.32,Arielle Immortal Passion,Lilian Roberts
KDP,6/1/15,6/30/15,12,16.250211,USD,US,,,,,B00KMNG5UY,N/A,KU/KOLL Units,N/A,,,16.25,Arielle Immortal Passion,Lilian Roberts
