Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,Philippines,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United Kingdom,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,Maldives,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,0.15,usd,United States,,9781620150405,,,,,,2.99,,0.15,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,2.5,usd,United States,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,
Scribd,10/1/14,10/31/14,,2.5,usd,Canada,,9781620150306,,,,,,4.99,,2.5,,The Essential Stay-at-Home Mom Manual: How to Have a Wondrous Life Amidst Kids and Chaos,Shannon Hyland-Tassava; Shannon Hyland-Tassava PhD,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,South Africa,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,10/1/14,10/31/14,,1.5,usd,Mexico,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
